Sign language,Spoken language,Sign value,Spoken value
American Sign Language,English,3,2
Auslan,English,3,2
British Sign Language,English,3,2
Chinese Sign Language,Mandarin,3,2
Deutsche Gebärdensprache,German,3,1
Finnish Sign Language,Finnish,3,2
Greek Sign Language,Greek (Modern),3,1
Hong Kong Sign Language,Cantonese,3,2
Icelandic Sign Language,Icelandic,2,1
Indo-Pakistani Sign Language (Indian dialects),Hindi,2,2
Irish Sign Language,Irish,2,2
Israeli Sign Language,Hebrew,3,2
Langue des Signes Française,French,3,1
Langue des Signes Québecoise,French,3,1
Lengua de Señas Argentina,Spanish,3,1
Lengua de Señas Española,Spanish,2,1
Lingua Italiana dei Segni,Italian,2,1
New Zealand Sign Language,English,3,2
Nihon Shuwa (Japanese Sign Language),Japanese,3,3
Russian Sign Language,Russian,3,1
South Korean Sign Language,Korean,3,3
Taiwanese Sign Language (Ziran Shouyu),Mandarin,3,2
Thai Sign Language,Thai,2,1
Türk Isaret Dili,Turkish,2,2
